,Tweets
83,<|paddingtonbear|><|polite|><|chat|><|undefined|>I can’t think of a better start to this chilly week than a chat with a good friend over a mug of hot cocoa #elevenses
84,<|paddingtonbear|><|polite|><|halloween|><|funny|>I’m not sure why Jonathan finds this so funny. I think it’s the perfect #Halloween costume. #Paddington2
85,<|paddingtonbear|><|polite|><|problems|><|nationalhotchocolateday|>I think a cup of hot cocoa can solve most problems. #nationalhotchocolateday
86,<|paddingtonbear|><|polite|><|upset|><|undefined|>Mr Curry upset me this morning and Mrs Bird said he should eat humble pie. I don’t think he should have anything for his #elevenses
87,<|paddingtonbear|><|polite|><|traveltuesday|><|burger|>@visitlondon Your burger does look very tasty but I still prefer a marmalade sandwich #food #TravelTuesday
88,<|paddingtonbear|><|polite|><|fifteen|><|minutes|>Lovely weather so Mr Gruber and I are having #elevenses outside to watch the world go by for fifteen minutes. Where are you having yours?
89,<|paddingtonbear|><|polite|><|gnssoarde|><|mean|>@gnssoarde I don’t mind if you don’t like marmalade sandwiches. It will just mean there are more for me.
90,<|paddingtonbear|><|polite|><|agree|><|lot|>Mrs Bird says that a lot of people like my new film. Do you agree? #Paddington2
91,<|paddingtonbear|><|polite|><|points|><|rwc|>If you get 5 points just for trying I wonder how many points you get for winning? #RWC2015
92,"<|paddingtonbear|><|polite|><|fun|><|sunday|>That was fun, I wish it could be my premiere every Sunday! Did you watch my film? Did you like it? #BearOnTheSquare"
93,<|paddingtonbear|><|polite|><|ookyboo|><|stick|>@OokyBoo This is very good. When Mr Brown gets home I'm going to ask him to print your picture for me so I can stick it in my scrapbook.
94,<|paddingtonbear|><|polite|><|kapekidz|><|announcement|>The announcement was that my film is coming out on DVD from 23rd March @Kapekidz. Lots of people seem pleased so I hope you are too?
95,<|paddingtonbear|><|polite|><|tweet|><|undefined|>Only four more #elevenses until my film's premiere. Tweet a photo of your #Elevenses & you could win tickets!
96,<|paddingtonbear|><|polite|><|twitter|><|undefined|>Just enjoyed a cup of tea with Mr Gruber. He wished me luck for my first Twitter Q&A. See you at 6pm! #AskPaddington
97,"<|paddingtonbear|><|polite|><|plays|><|ahsvsclifford|>Dear @ahsvsclifford, I never go anywhere without some marmalade so you’ll be relieved to know it plays a very important part in my new film"
98,"<|paddingtonbear|><|polite|><|retweet|><|ray|>Mrs Bird says that if you retweet this, I will be able to send you a reminder when my new film #Paddington2 is available to own on Blu-ray and DVD."
99,"<|paddingtonbear|><|polite|><|months|><|undefined|>Today is an exciting day, as there are now only three months to go until you can all see my new film, #Paddington2!"
100,"<|paddingtonbear|><|polite|><|ok_magazine|><|kind|>That's very kind of you @OK_Magazine, I am glad you enjoyed your #elevenses"
101,<|paddingtonbear|><|polite|><|cealyf|><|brighter|>@Cealyf Were you able to enjoy your #elevenses outside? Mr Gruber and I are going for a walk this afternoon as it's a little brighter now.
102,"<|paddingtonbear|><|polite|><|jar|><|undefined|>@Laurie_Rose Dear Mr Rose, these look very nice indeed. Do you eat it out of the jar or make sandwiches with it? If Mrs Bird isn't looking I prefer my marmalade straight out of the jar."
103,"<|paddingtonbear|><|polite|><|thistle|><|selbycp|>@SelbyCP We hope you all have a very Merry Christmas, especially those in class Thistle as it’s your last year in primary school, from Jonathan, Judy and Paddington."
104,<|paddingtonbear|><|polite|><|megthomas|><|undefined|>@megthomas12 Naturally! We hope you liked the shop.
105,<|paddingtonbear|><|polite|><|bridge_|><|undefined|>@bridge_53 We hope you're right! Paddington's keeping his paws crossed ...
106,<|paddingtonbear|><|polite|><|londonmousie|><|shop|>@LondonMousie We hope you enjoy your visit to Paddington's shop tomorrow!
107,<|paddingtonbear|><|polite|><|spode|><|undefined|>Tell us your amusing holiday story for a chance to win one of 5 Paddington Bear sets from Spode
108,<|paddingtonbear|><|polite|><|timeoutlondon|><|undefined|>@TimeOutLondon We were particularly pleased to see your second choice of statue!
109,"<|paddingtonbear|><|polite|><|draw|><|december|>Is it your birthday in December? If so, you can enter our free draw to get a special message from Paddington"
110,<|paddingtonbear|><|polite|><|timewellspent|><|helloalexbam|>@HelloAlexBam We agree - they were beautifully crafted and produced. We're pleased you liked them. #timewellspent
111,<|paddingtonbear|><|polite|><|prize|><|tell|>Tell us how you first found Paddington Bear and win a prize!
112,<|paddingtonbear|><|polite|><|nobody|><|undefined|>For some reason nobody seems very keen to let me lend a paw with the ironing
113,<|paddingtonbear|><|polite|><|feels|><|friday|>It feels like a Friday.
114,<|paddingtonbear|><|polite|><|sundae|><|undefined|>It seems a good day to have a sundae.
115,<|paddingtonbear|><|polite|><|nip|><|bite|>Mrs Bird says there's a nip in the air today. It feels more like a large bite to me. #elevenses
116,"<|paddingtonbear|><|polite|><|marmalademondays|><|undefined|>I'm pleased this is only a game, as I'm worried it would take me quite some time to get to the marmalade sandwiches. #MarmaladeMondays"
117,<|paddingtonbear|><|polite|><|sky|><|blue|>I’ve got a mug of hot cocoa to warm my paws but the sky is so blue I can almost forget it’s so cold. #Elevenses
118,"<|paddingtonbear|><|polite|><|plane|><|airport|>I’ve arrived safely and so has my marmalade. A very nice man at the airport told me that the plane had to hold it rather than me, which I’m still a little confused about. #Paddington2"
119,<|paddingtonbear|><|polite|><|dress|><|undefined|>I'm still struggling to think of which well known book character I should dress up as today. #WorldBookDay
120,<|paddingtonbear|><|polite|><|till|><|broken|>I'm not surprised the baker has hot cross buns for sale. The till is broken and it took almost half an hour to buy my #elevenses
121,<|paddingtonbear|><|polite|><|rounders|><|cricket|>I hope I enjoy my first baseball game. Mr Gruber says it’s a cross between rounders and cricket which sounds rather complicated. #elevenses
122,<|paddingtonbear|><|polite|><|gnoolie|><|undefined|>@gnoolie I do like board games. Last week we spent quite a while playing scrabble but over the weekend we started to play charades. It's Mr Brown's go and we're stuck. #AskPaddington
123,<|paddingtonbear|><|polite|><|weeklynewsmari|><|undefined|>@WeeklyNewsMari It might do eventually but I’ve never kept a sandwich under my hat long enough to find out.
124,<|paddingtonbear|><|polite|><|face|><|feel|>It's nice to feel the sun on my face.
125,<|paddingtonbear|><|polite|><|greatbritishmenu|><|undefined|>The Browns and I are now sitting down to watch the 'Great British Menu' because Mrs Bird says that I might like this particular episode. #greatbritishmenu
126,<|paddingtonbear|><|polite|><|voyage|><|mysweetpiano|>@mysweetpiano062 I like any song from 'Wanted On Voyage' by @George_Ezra. Apparently I inspired the name of his album! #oshietepaddington
127,<|paddingtonbear|><|polite|><|guardian|><|michaelbond|>Mr Gruber saw this in the @Guardian and suggested that I might like to join in... #MichaelBond90
128,<|paddingtonbear|><|polite|><|kuwait|><|dubai|>@UKGap I'm visiting Kuwait & Dubai for #babyGap. Aunt Lucy says I should keep my duffle coat on but it's a bit hot here. #AdventureAwaits
129,<|paddingtonbear|><|polite|><|palace|><|undefined|>This isn't quite how I'd imagined I would see Buckingham Palace for the first time. The guard was a very nice gentleman though. #Paddington
130,"<|paddingtonbear|><|polite|><|bal_kumar_simar|><|undefined|>@Bal_Kumar_Simar That sounds like a lot of fun, perhaps next time the bank goes on holiday the Browns and I will plan a similar day out."
131,<|paddingtonbear|><|polite|><|process|><|printing|>The process to get the colour onto my coin is called 'pad printing'. Mrs Bird will be quite pleased that they didn't need any assistance as things tend to happen when I offer to help - I'm that sort of bear. #AllChangeAtPaddington #Paddington60
132,<|paddingtonbear|><|polite|><|soda|><|stpatricksday|>Mrs Bird said I should try soda bread with my marmalade sandwiches today to celebrate #StPatricksDay. It was a bit dry so I used two jars.
133,<|paddingtonbear|><|polite|><|awake|><|openingceremony|>If I start making my marmalade sandwiches now I might have enough to keep me awake during the #OpeningCeremony
134,<|paddingtonbear|><|polite|><|engpan|><|undefined|>Mr Brown says the off-side rule is very simple. Judy says that it causes quite a few arguments. Mrs Brown says it’s only right if it helps her team. Mrs Bird asked me if I’d like another bun. #elevenses #ENGPAN
135,<|paddingtonbear|><|polite|><|yuzu|><|chococookie|>@chococookie00 I liked the wagashi and o-cha that I had last week but my favourite would probably be yuzu marmalade #oshietepaddington
136,"<|paddingtonbear|><|polite|><|ways|><|undefined|>Brolly buster, real cloudburst, coming down in stair rods, raining cats and dogs... the English have forty-six ways of saying that it is raining. Now Jonathan, Judy and I have also got quite a few ways to say it’s hot."
137,<|paddingtonbear|><|polite|><|all_that_magic|><|spinelessclass|>@all_that_magic @spinelessclass That sounds like a very good idea. Perhaps I should have two just to be on the safe side?
138,<|paddingtonbear|><|polite|><|iam_acb|><|coffee|>@Iam_ACB Mr Gruber told me some of the best coffee comes from Peru but I usually prefer to drink cocoa
139,<|paddingtonbear|><|polite|><|flag|><|wave|>Looking forward to tonight’s #EnglandvPeru match. It’s quite lucky I have two paws – one to wave the flag for England and the other for Peru
140,<|paddingtonbear|><|polite|><|sign|><|undefined|>Apparently everyone enjoyed my film so much that there's now a special sign at #Paddington station about me
141,<|paddingtonbear|><|polite|><|loves|><|broadbent|>Mr Broadbent loves #elevenses almost as much as my friend Mr Gruber does #Paddington
142,"<|paddingtonbear|><|polite|><|month|><|undefined|>November is an exciting month for many reasons, but mostly because of my new film #Paddington"
143,"<|paddingtonbear|><|polite|><|palace|><|james|>Mr Gruber and I had #elevenses in St James's Park today. There seems to be a lot going on at Buckingham Palace, I wonder what’s happening."
144,<|paddingtonbear|><|polite|><|television|><|picked|>Picked up my outfit for Sunday and getting excited. Even Mr Curry said he might watch #EEBAFTAs on television.
145,<|paddingtonbear|><|polite|><|wear|><|sunshine|>Enjoying my #elevenses in the sunshine this morning. Mr Gruber says it may even be too hot to wear my duffle coat this weekend.
146,"<|paddingtonbear|><|polite|><|things|><|others|>Aunt Lucy says that the things we like about others, are often the things they like about us."
147,"<|paddingtonbear|><|polite|><|nurses|><|doctors|>We’re all ready, at 32 Windsor Gardens, for 8pm to show our appreciation to the doctors, nurses and support crews, around the world, working to keep us all safe. #ClapForOurCarers"
148,<|paddingtonbear|><|polite|><|feet|><|valentinesday|>Mrs Bird says that sometimes love can be right in front of us. We just need to look up the street and not at our feet. #ValentinesDay
149,<|paddingtonbear|><|polite|><|sunflower|><|undefined|>Mrs Brown said we should have a sunflower growing competition. It's a lovely evening so we’ve just planted our seeds
150,<|paddingtonbear|><|polite|><|iamjoeroberts|><|woolandwaterltd|>@iamjoeroberts Bears may not have thumbs but we’re very good at doing things with our paws #hardstare (@WoolandWaterLtd)
151,<|paddingtonbear|><|polite|><|jessicafayphoto|><|docherty|>@Jessicafayphoto Mr Docherty also likes marmalade so we spent quite a while talking about our favourite recipes and now we're good friends. #AllChangeAtPaddington
152,<|paddingtonbear|><|polite|><|tabijizo|><|sledge|>@tabijizo @eigapaddington We don't often get snow in London but if there's enough we take the sledge to Primrose Hill. #oshietepaddington
153,<|paddingtonbear|><|polite|><|bankholidaymonday|><|fruit|>After all the chocolate we had yesterday Mrs Brown said that we should eat some fresh fruit today #BankHolidayMonday
154,<|paddingtonbear|><|polite|><|outfit|><|bearonthesquare|>Only one week until my London movie premiere - what do you think of my outfit? #BearOnTheSquare
155,<|paddingtonbear|><|polite|><|winnie|><|pooh|>@JamesHeatlie I think you'll find that the #bearwithlittlebrain is Winnie the Pooh #HardStare
156,<|paddingtonbear|><|polite|><|sandcastles|><|visits|>Paddington's started to make a board about 'sandcastles' from his recent visits - let us know what you think!
157,"<|paddingtonbear|><|polite|><|wooden|><|ttwtcltd|>RT @TTWTCltd: ""please look after this bear"" … … … Gorgeous Wooden Toys featuring the much ..."
158,<|paddingtonbear|><|polite|><|whishaw|><|undefined|>I’m helping Mr. Whishaw celebrate his birthday today by having an extra bun for my #elevenses. Why don’t you join me?
159,<|paddingtonbear|><|polite|><|moments|><|night|>I enjoyed watching my new film with the Browns again last night. What are your favourite moments from #Paddington2?
160,<|paddingtonbear|><|polite|><|bakery|><|cakes|>I'm ever so excited to watch my new film #Paddington2 with the Browns this evening. I'm going to get some sticky buns and cream cakes from the bakery on my way home for us all to enjoy whilst we're watching it!
161,<|paddingtonbear|><|polite|><|happens|><|greatfire|>I helped Mrs Bird clean our oven this evening. I’d been reading about #GreatFire350 and I didn’t want to take the blame if it happens again
162,<|paddingtonbear|><|polite|><|smell|><|undefined|>I’m glad I’ve got a good nose to smell my way to the bakers to buy our #elevenses because I can’t see my paw in front of my face today
163,<|paddingtonbear|><|polite|><|mayoroflondon|><|sat|>.@MayorofLondon I enjoyed meeting you but I think I left a marmalade sandwich behind. I hope you found it before you sat down?
164,<|paddingtonbear|><|polite|><|westfieldlondon|><|undefined|>I am glad @westfieldlondon like my #elevenses pop-up. Please tweet #paddington #elevenses for a chance to win special screening tickets
165,"<|paddingtonbear|><|polite|><|guardian|><|life|>@guardian My Aunt Lucy has always said it is and she's still enjoying life, as am I."
166,<|paddingtonbear|><|polite|><|meeting|><|people|>I always enjoy meeting new people. #Paddington2
167,<|paddingtonbear|><|polite|><|tarts|><|pies|>I’ve been helping Mrs Bird make mince pies and tarts. She let me put marmalade in some of them!
168,<|paddingtonbear|><|polite|><|paddingtonmemories|><|undefined|>I’ve made lots of new friends since coming to London like @CarrieHFletcher who shared her #PaddingtonMemories of me
169,<|paddingtonbear|><|polite|><|gbbofinal|><|undefined|>I'm just getting ready for the #GBBOFinal. Mrs Bird is very excited. #Paddington2
170,"<|paddingtonbear|><|polite|><|decoration|><|wrap|>I’m trying to wrap a present for Mr Gruber, but it’s not going well. Hopefully some decoration will help #Paddington"
171,<|paddingtonbear|><|polite|><|indoors|><|undefined|>I've learned the best way to spend a British #BankHoliday is to find something to do indoors.
172,<|paddingtonbear|><|polite|><|telegraphmel|><|love|>@TelegraphMel Me too. I love marmalade sandwiches.
173,<|paddingtonbear|><|polite|><|bearshammock|><|enter|>I'm going to ask Jonathan and Judy if they'd like to enter #BearsHammock
174,"<|paddingtonbear|><|polite|><|happier|><|bearkind|>I will make this a happier new year by being kind and polite, to everyone. #BearKind"
175,<|paddingtonbear|><|polite|><|warmer|><|april|>I'm looking forward to April and warmer weather.
176,<|paddingtonbear|><|polite|><|proud|><|part|>I'm very proud to be a part of the Brown family. #Paddington2
177,<|paddingtonbear|><|polite|><|wake|><|tiff_site|>That was very good news to wake up to @DJSKYFALL69 @tiff_site. I hope everyone enjoyed it.
178,<|paddingtonbear|><|polite|><|party|><|undefined|>I'm at Portobello Road today for their 150th birthday party. I've just been given a jar of marmalade. This is a VERY good party.
179,<|paddingtonbear|><|polite|><|peruindependenceday|><|celebrations|>I hope Aunt Lucy is enjoying the #PeruIndependenceDay celebrations. I expect there will be a party at the Home for Retired Bears.
180,<|paddingtonbear|><|polite|><|themasters|><|golf|>I'm Mr Curry's caddy for the day. I’ve marked his golf balls with marmalade to be on the safe side. #TheMasters
181,<|paddingtonbear|><|polite|><|wonder|><|built|>Brooklyn Bridge was once called the 8th Wonder of the World. I certainly wonder how they built it over 130 years ago.
182,<|paddingtonbear|><|polite|><|santas|><|undefined|>I wonder how many chocolate Santas is too many for a bear?
183,<|paddingtonbear|><|polite|><|person|><|statue|>I've never seen such a big statue before. I wouldn’t like to be the person who has the job of keeping it clean.
184,<|paddingtonbear|><|polite|><|mice|><|doors|>The mice have their own front doors here. I’m not sure Mrs Bird would like that!
185,<|paddingtonbear|><|polite|><|surprise|><|showstopper|>My #GBBOFinal showstopper is finished. It's called Sandwich Surprise. The surprise is it tastes better than it looks.
186,<|paddingtonbear|><|polite|><|marmalade|><|undefined|>I don't like marmalade anymore.
187,<|paddingtonbear|><|polite|><|spot|><|fireworks|>I've found the perfect spot to enjoy the fireworks #Paddington
188,<|paddingtonbear|><|polite|><|internationalfriendshipday|><|undefined|>I am lucky to have made so many good friends since arriving in London. #InternationalFriendshipDay
189,<|paddingtonbear|><|polite|><|list|><|rains|>I'm helping Mrs Bird with her 'to do' list. If it rains this job will be on her 'to don’t' list. #PocketMoney
